id,tweet,task_1,label
hasoc_en_1,dhonikeepstheglove watch sports minister kiren rijiju issues statement backing ms dhoni balidaan badge tells bcci take matter icc keep government know nations pride involved,NOT,0
hasoc_en_2,remember clearly individual1 admitted treason trumpisatraitor mccainsahero johnmccainday,HOF,1
hasoc_en_3,guess would winner cwc19 team gets maximum points abandoned matches shameonicc wivseng,NOT,0
hasoc_en_4,corbyn politically intellectual borisjohnsonshouldnotbepm cant wait generalelectionnow,NOT,0
hasoc_en_5,best teamindia another swimming competition sunday pakistan indvpak shameonicc cwc19 cwc19rains,NOT,0
hasoc_en_6,hope remembered wipe blood pic taken bloodonhishands murderer,NOT,0
hasoc_en_7,latest design wc2019 trophy cwc2019 cwc19 shameonicc,NOT,0
hasoc_en_8,ados trendingnow blacklivesmatter justice fucktrump central park five prosecutor elizabeth lederer columbia law school,HOF,1
hasoc_en_9,thanks support wow 600k graffiti massive impact nowadays forget show opinion allcolorsarebeautiful powertothepeople fuckracism fucktrump makelovenotwar,NOT,0
hasoc_en_10,wearing balidaanbadge gloves shown love amp respect forces understand related politicalreligiousracial activities nationalpride dhonikeepstheglove,NOT,0
hasoc_en_11,mahendra singh dhonis love nation armed forces soldiers intact truly commendable nations hero one represents country better stand dhonikeepstheglove dhonikesaathdesh indiawithdhoni,NOT,0
hasoc_en_12,dont know much take 45 compulsive liar trump30hours trumpisatraitor,HOF,1
hasoc_en_13,shameonicc winner teamrain icc run teamrain icc man matchrain icc man seriesrain best bowlerrain best wicketkeperrain,NOT,0
hasoc_en_14,grevious assault jr doctors medical colleges wb action taken safety security justice pm sir please intervene asap savethedoctors doctorsfightback,NOT,0
hasoc_en_15,icc denies request bcci allow msd wear gloves army insignia dhonikeeptheglove dhonikeepstheglove,NOT,0
hasoc_en_16,good work keep going destroy whole fucking world cup shameonicc,HOF,1
hasoc_en_17,wow youre full borisjohnsonshouldnotbepm kickthemout,NOT,0
hasoc_en_18,indian spectators shd hv balidanbadge ground dhonikeepstheglove dhonikeepbalidaanbadgeglove dhonikeepstheglove dhonikesathdesh,NOT,0
hasoc_en_19,virat kholi tattoos dhonikeepstheglove,NOT,0
hasoc_en_20,important indiawithdhoni dhonikeepstheglove,NOT,0
hasoc_en_21,gonna crash douchebag,NOT,0
hasoc_en_22,harbor n bay mens boxer short pack 2 rs299 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,NOT,0
hasoc_en_23,icc turns bccis request allow continue wearing army insignia wicketkeeping gloves icc says regulations icc events permit individual message logo displayed items clothing equipment dhonikeepstheglove,NOT,0
hasoc_en_24,shameonicc 1 icc dhonis gloves vs 2icc planning world cup,HOF,1
hasoc_en_25,senior doctors rgkar greeted applause amp ovation juniordoctors came back submitting resignation hear orchestrated paid stunt docs massresigning protest doctorsfightback savethedoctors istandwithnrs,NOT,0
hasoc_en_26,empty podiums make much noise toryleadershipdebate ukpm borisjohnsonshouldnotbepm leadersdebate gtto jc4pm2019 frightnight,NOT,0
hasoc_en_27,shameonicc iccworldcup2019 world cup reality,NOT,0
hasoc_en_28,disgusting dont change culture come vetting system preventative ways stop occurring continue happen catholic church needs go rapist childtrafficking catholicchurch catholictwitter,HOF,1
hasoc_en_29,goqii vital colour display blood pressure monitor rs1999 mrp3499 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,NOT,0
hasoc_en_30,500 doctors already resigned bengal nrs 100 sskm 175 national medical college 20 rg kar 126 north bengal college 119 murshidabad 50 rampurhat 37 burdwan 26 doctorsfightback savethedoctors,NOT,0
hasoc_en_31,hi everyone im kolkata thought id let know crazy goings medical world become front page news recent years seen rise violence doctors often junior doctorsfightback,NOT,0
hasoc_en_32,worst ever world cup arrangement cricket history shameonicc shameonengland wc2019 swimming pool gym hotel englishbeggers royalbeggers,NOT,0
hasoc_en_33,fuck go fuck piece shit someone get asshole jail cell birthday impeachtrumpnow fucktrump dickstaindonald derangeddonald,HOF,1
hasoc_en_34,donald trump lies trumpisatraitor happy johnmccainday,NOT,0
hasoc_en_35,retired nfl players dont suffer cte bottom pool mistook elevator murderer,HOF,1
hasoc_en_36,telegraphs use word crown regard boris johnson says borisjohnsonshouldnotbepm,NOT,0
hasoc_en_37,doctorsfightback doctor wishes stop emergency services dr sayantan banerjee resident doctor aiims relative assaulted dr paribaha mukherjee,NOT,0
hasoc_en_38,worries one winner rains shameonicc,NOT,0
hasoc_en_39,score 100 today predict win prizes indvaus dhonikeepstheglove dhoniatcwc19,NOT,0
hasoc_en_40,dont support country concentration camps againts small etnich groups religions dont support violencie discrimination humanrights boycottchina stopracismo diversity china endhate stopviolence,NOT,0
hasoc_en_41,dhonikeepstheglove zero without dhoni like captainperson,NOT,0
hasoc_en_42,interest puplic speaking doctorsfightback doctors mamatabanarjee,NOT,0
hasoc_en_43,remaining matches get washed nz 12 ind 11 eng 10 aus 10 wi 9 sl 9 pak 9 ban 8 sa 6 afg 6 semis aus vs nz rain doesnt stop nz eng vs ind rain doesnt stop ind final ind vs nz rain doesnt stop nz india win shameonicc,NOT,0
hasoc_en_44,crazy manbaby probably paint gold gawdy ihate45 worstpresidentever weaselheadedfucknugget shutyourshithole fucktrump yousuck liarinchief noclass moron ridusofthisdisease unfollowtrump,HOF,1
hasoc_en_45,everything fucktrump,HOF,1
hasoc_en_46,ima amp associations doctors hounded year brdoxygentragedy without fault doctors need stand matter assaulter power doctorsfightback doctorsprotest,NOT,0
hasoc_en_47,hey trump lovely ladies got something tell ya fucktrump,HOF,1
hasoc_en_48,love bill think start printing fucktrump,HOF,1
hasoc_en_49,basically hes vegan dickhead,HOF,1
hasoc_en_50,world rejoice die murderer classless,HOF,1
hasoc_en_51,acoustic amp electric guitar kits rs1699 guitars amp musical instruments upto 75 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,NOT,0
hasoc_en_52,maybe take lips ass read report get dems everyone else half brain get white house pospotus asskissers impeachtrump fucktrump butnotliterallylindsey,HOF,1
hasoc_en_53,ruling sends clear message muslim voices silenced threats hate via helped represent mr obeidallah antimuslim islamophobia justice,NOT,0
hasoc_en_54,50c 70c avg temp siachen wintersavg people feel cold 15c skull freezing envrmnt indianarmy protect us people like kanahiya kumar referred indianarmy rapist supports abuses throw stones indianarmy,NOT,0
hasoc_en_55,mamta ji pls dont drag muslims case one said wont treat particular religion muslim pls stop speculating situation based religion stop playing bloody politics mamtabanerjee doctorsfightback india westbengal trinamool,NOT,0
hasoc_en_56,watching johnson borisjohnson borisjohnsonshouldnotbepm incompetent,NOT,0
hasoc_en_57,well come new pakistan new rates budget2019 ptigovernment imranhataomulkbachao,NOT,0
hasoc_en_58,trump good trumpisatraitor,NOT,0
hasoc_en_59,going leave keep eyes mind open media portray people remember question everything leadersdebate borisjohnsonshouldnotbepm,NOT,0
hasoc_en_60,best teamindia another swimming competition sunday india pakistan indvpak shameonicc cwc19 cwc19rains,NOT,0
hasoc_en_61,unisex anti trump af tshirt extended sizes small 5x fucktrump antitrump votebluenomatterwho,NOT,0
hasoc_en_62,world cup 19 ban rain rain rain motherfuckerr icc shift world another country ban world cup 19 shameonicc,HOF,1
hasoc_en_63,learn cover ground shameonicc,NOT,0
hasoc_en_64,lmao shoelifts girdlebutt stance pathetic fucktrump vomitus lies spews crimes commits,HOF,1
hasoc_en_65,waited 4 years see world cup matches rain continues disappointing fansshameonicc,NOT,0
hasoc_en_66,gee seen fucktrump impeachdonaldtrumpnow leaked docs reveal russian effort exert influence africa,NOT,0
hasoc_en_67,sarah sanders floating idea running arkansas governor sources say resist resisttrump fucktrump,NOT,0
hasoc_en_68,dirtyjohn bravo holy crap guy losgatos thats neck woods siliconvalley sanjose scary murderer,NOT,0
hasoc_en_69,shameonicc indian fans unleash wrath upon icc another world cup washout,NOT,0
hasoc_en_70,throwback time pak dedicated entire match army icc didnt even flinch india must pressured icc change dhoni gloves dont let pak win boycott wc india dhonikeeptheglove dhonikeepstheglove dhonikesaathdesh dhonikeepthegloves,NOT,0
hasoc_en_71,want know thanks asking questions fucktrump bebest orangefoolius,NOT,0
hasoc_en_72,dont need special law need proper unbiased enforcement existing laws applied properly people jailed deterrence doctors must win back trust people ensure political support us doctorsfightback,NOT,0
hasoc_en_73,top 50 hashtags mentioning 20190615 0700 20190615 1500 gmt0 maga johnmccainday trump2020 derangeddonald trump trumpisatraitor impeachtrumpnow wwg1wga rt impeachtrump,NOT,0
hasoc_en_74,dhonikeepstheglove dhoni indian audience also wear jersey banner balidan insignia tv channels news papers wherever possible include insignia,NOT,0
