tweet,label
dhonikeepstheglove watch sports minister kiren rijiju issues statement backing ms dhoni balidaan badge tells bcci take matter icc keep government know nations pride involved,0
,0
,0
,0
remember clearly individual1 admitted treason trumpisatraitor mccainsahero johnmccainday,1
,1
,1
,1
guess would winner cwc19 team gets maximum points abandoned matches shameonicc wivseng,0
,0
,0
,0
corbyn politically intellectual borisjohnsonshouldnotbepm cant wait generalelectionnow,0
,0
,0
,0
best teamindia another swimming competition sunday pakistan indvpak shameonicc cwc19 cwc19rains,0
,0
,0
,0
hope remembered wipe blood pic taken bloodonhishands murderer,0
,0
,0
,0
latest design wc2019 trophy cwc2019 cwc19 shameonicc,0
,0
,0
,0
ados trendingnow blacklivesmatter justice fucktrump central park five prosecutor elizabeth lederer columbia law school,1
,1
,1
,1
thanks support wow 600k graffiti massive impact nowadays forget show opinion allcolorsarebeautiful powertothepeople fuckracism fucktrump makelovenotwar,0
,0
,0
,0
wearing balidaanbadge gloves shown love amp respect forces understand related politicalreligiousracial activities nationalpride dhonikeepstheglove,0
,0
,0
,0
mahendra singh dhonis love nation armed forces soldiers intact truly commendable nations hero one represents country better stand dhonikeepstheglove dhonikesaathdesh indiawithdhoni,0
,0
,0
,0
dont know much take 45 compulsive liar trump30hours trumpisatraitor,1
,1
,1
,1
shameonicc winner teamrain icc run teamrain icc man matchrain icc man seriesrain best bowlerrain best wicketkeperrain,0
,0
,0
,0
grevious assault jr doctors medical colleges wb action taken safety security justice pm sir please intervene asap savethedoctors doctorsfightback,0
,0
,0
,0
icc denies request bcci allow msd wear gloves army insignia dhonikeeptheglove dhonikeepstheglove,0
,0
,0
,0
good work keep going destroy whole fucking world cup shameonicc,1
,1
,1
,1
wow youre full borisjohnsonshouldnotbepm kickthemout,0
,0
,0
,0
indian spectators shd hv balidanbadge ground dhonikeepstheglove dhonikeepbalidaanbadgeglove dhonikeepstheglove dhonikesathdesh,0
,0
,0
,0
virat kholi tattoos dhonikeepstheglove,0
,0
,0
,0
important indiawithdhoni dhonikeepstheglove,0
,0
,0
,0
gonna crash douchebag,0
,0
,0
,0
harbor n bay mens boxer short pack 2 rs299 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,0
,0
,0
,0
icc turns bccis request allow continue wearing army insignia wicketkeeping gloves icc says regulations icc events permit individual message logo displayed items clothing equipment dhonikeepstheglove,0
,0
,0
,0
shameonicc 1 icc dhonis gloves vs 2icc planning world cup,1
,1
,1
,1
senior doctors rgkar greeted applause amp ovation juniordoctors came back submitting resignation hear orchestrated paid stunt docs massresigning protest doctorsfightback savethedoctors istandwithnrs,0
,0
,0
,0
empty podiums make much noise toryleadershipdebate ukpm borisjohnsonshouldnotbepm leadersdebate gtto jc4pm2019 frightnight,0
,0
,0
,0
shameonicc iccworldcup2019 world cup reality,0
,0
,0
,0
disgusting dont change culture come vetting system preventative ways stop occurring continue happen catholic church needs go rapist childtrafficking catholicchurch catholictwitter,1
,1
,1
,1
goqii vital colour display blood pressure monitor rs1999 mrp3499 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,0
,0
,0
,0
500 doctors already resigned bengal nrs 100 sskm 175 national medical college 20 rg kar 126 north bengal college 119 murshidabad 50 rampurhat 37 burdwan 26 doctorsfightback savethedoctors,0
,0
,0
,0
hi everyone im kolkata thought id let know crazy goings medical world become front page news recent years seen rise violence doctors often junior doctorsfightback,0
,0
,0
,0
worst ever world cup arrangement cricket history shameonicc shameonengland wc2019 swimming pool gym hotel englishbeggers royalbeggers,0
,0
,0
,0
fuck go fuck piece shit someone get asshole jail cell birthday impeachtrumpnow fucktrump dickstaindonald derangeddonald,1
,1
,1
,1
donald trump lies trumpisatraitor happy johnmccainday,0
,0
,0
,0
retired nfl players dont suffer cte bottom pool mistook elevator murderer,1
,1
,1
,1
telegraphs use word crown regard boris johnson says borisjohnsonshouldnotbepm,0
,0
,0
,0
